"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"1","Milwaukee","East","Central","82","116.9","113.3","3.6","100.5","115.5","111.9","3.6","-0.44","0.00","3.16","15","0.086","58","24","0.707","0.595","0.619","0.112","-2"
"2","Boston","East","Atlantic","82","117.9","111.4","6.5","98.4","118.1","111.5","6.6","-0.84","0.00","5.76","14.3","0.063","57","25","0.695","0.677","0.714","0.018","3"
"3","Philadelphia","East","Atlantic","82","115.2","110.9","4.3","96.8","117.8","113.4","4.4","0.11","-1.30","4.51","13.3","0.021","54","28","0.659","0.629","0.642","0.03","2"
"4","Cleveland","East","Central","82","112.3","106.9","5.4","95.6","116.2","110.6","5.6","-1.03","1.60","4.57","12.9","0.004","51","31","0.622","0.667","0.678","-0.045","-1"
"5","New York","East","Atlantic","82","116","113.1","2.9","97.1","117.8","114.9","2.9","-0.02","8.40","2.88","13","0.021","47","35","0.573","0.589","0.595","-0.016","-2"
"6","Brooklyn","East","Atlantic","82","113.4","112.5","0.9","98.3","115","114.2","0.8","-0.05","4.80","0.75","15.6","0.036","45","37","0.549","0.521","0.53","0.028","-1"
"7","Miami","East","Southeast","82","109.5","109.8","-0.3","96.1","113.2","113.5","-0.3","-0.07","-1.70","-0.37","11.8","-0.07","44","38","0.537","0.49","0.49","0.047","1"
"8","Atlanta","East","Southeast","82","118.4","118.1","0.3","100.7","116.7","116.4","0.3","0.62","-0.20","0.92","12.9","-0.026","41","41","0.500","0.509","0.51","-0.009","-2"
"9","Toronto","East","Atlantic","82","112.9","111.4","1.5","97.1","115.5","114","1.5","-0.32","0.95","1.18","12.5","-0.119","41","41","0.500","0.548","0.549","-0.048","1"
"10","Chicago","East","Central","82","113.1","111.8","1.3","98.5","113.5","112.2","1.3","0.11","4.70","1.41","15","-0.013","40","42","0.488","0.534","0.543","-0.046","2"
"11","Indiana","East","Central","82","116.3","119.5","-3.2","100.9","114.8","117.9","-3.1","0.11","0.00","-2.99","10.8","-0.027","35","47","0.427","0.387","0.395","0.04","1"
"12","Washington","East","Southeast","82","113.2","114.4","-1.2","98.5","114.5","115.7","-1.2","0.20","0.00","-1.00","13.2","0.032","35","47","0.427","0.464","0.46","-0.037","-1"
"13","Orlando","East","Southeast","82","111.4","114","-2.6","99.2","111.7","114.3","-2.6","1.01","0.00","-1.59","12.1","-0.015","34","48","0.415","0.415","0.414","0","-4"
"14","Charlotte","East","Southeast","82","111","117.2","-6.2","100.8","109.3","115.4","-6.1","1.11","0.00","-4.99","13","-0.044","27","55","0.329","0.32","0.296","0.009","1"
"15","Detroit","East","Central","82","110.3","118.5","-8.2","99","110.7","119","-8.3","0.92","0.00","-7.38","12.3","-0.04","17","65","0.207","0.25","0.23","-0.043","-1"
