"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"1","Denver","West","Northwest","82","115.8","112.5","3.3","98.1","117.6","114.2","3.4","-0.56","0.00","2.84","14.3","0.058","53","29","0.646","0.594","0.609","0.052","1"
"2","Memphis","West","Southwest","82","116.9","113","3.9","101","115.1","111.3","3.8","-0.49","0.00","3.31","14.7","0.007","51","31","0.622","0.602","0.628","0.02","-1"
"3","Sacramento","West","Pacific","82","120.8","118.1","2.7","100.3","119.5","116.9","2.6","-0.49","-4.20","2.11","13.5","0.006","48","34","0.585","0.577","0.589","0.008","-3"
"4","Phoenix","West","Pacific","82","113.6","111.6","2","98.2","115.2","113.1","2.1","0.34","-1.20","2.44","15.2","-0.001","45","37","0.549","0.555","0.566","-0.006","-2"
"5","Golden State","West","Pacific","82","118.9","117.1","1.8","101.7","116.4","114.7","1.7","0.37","3.20","2.07","15.4","0.067","44","38","0.537","0.544","0.559","-0.007","3"
"6","LA Clippers","West","Pacific","82","113.6","113.1","0.5","97.9","115.1","114.6","0.5","0.11","5.00","0.61","13.5","0.028","44","38","0.537","0.515","0.516","0.022","3"
"7","LA Lakers","West","Pacific","82","117.2","116.6","0.6","101.3","114.5","114","0.5","0.33","-1.00","0.83","11.3","0.024","43","39","0.524","0.518","0.52","0.006","2"
"8","Minnesota","West","Northwest","82","115.8","115.8","0","101","113.8","113.8","0","0.32","0.95","0.32","11.6","0.02","42","40","0.512","0.5","0.5","0.012","3"
"9","New Orleans","West","Southwest","82","114.4","112.5","1.9","99","114.5","112.6","1.9","-0.13","-1.05","1.77","14.7","0.001","42","40","0.512","0.551","0.563","-0.039","-1"
"10","Oklahoma City","West","Northwest","82","117.5","116.4","1.1","101.1","115.4","114.4","1","-0.20","5.00","0.80","12.7","-0.068","40","42","0.488","0.531","0.536","-0.043","2"
"11","Dallas","West","Southwest","82","114.2","114.1","0.1","96.5","116.9","116.8","0.1","-0.35","0.00","-0.25","12.3","-0.002","38","44","0.463","0.503","0.503","-0.04","-2"
"12","Utah","West","Northwest","82","117.1","118.1","-1","100.4","115.8","116.8","-1","-0.16","0.00","-1.16","11.4","0.043","37","45","0.451","0.465","0.467","-0.014","-1"
"13","Portland","West","Northwest","82","113.4","117.4","-4","98.5","114.8","118.9","-4.1","0.09","0.00","-4.01","15","-0.015","33","49","0.402","0.392","0.368","0.01","-4"
"14","Houston","West","Southwest","82","110.7","118.6","-7.9","99","111.4","119.3","-7.9","0.66","0.00","-7.24","12.6","-0.026","22","60","0.268","0.265","0.24","0.003","3"
"15","San Antonio","West","Southwest","82","113","123.1","-10.1","101.6","110.3","120.1","-9.8","0.53","0.00","-9.27","14.9","-0.059","22","60","0.268","0.256","0.167","0.012","1"
